i1	00002403-a	1
i2	00002738-a	1
i3	00002958-a	1
i4	00003161-a	1
i7	00003352-a	1
i8	00003511-a	1
i10	00004114-a	1
i12	00004233-a	1
i13	00004339-a	1
i14	00004688-a	1
i15	00004878-a	1
i16	00004995-a	1
i17	00005271-a	1
i18	00005359-a	1
i20	00005415-a	1
i21	00005560-a	1
i2949	00005659-a	0.5
i10234	00005659-a	0.5
i22	00005783-a	1
i2930	00006051-a	1
i24	00006145-a	1
i4026	00006264-a	0.352
i4048	00006264-a	0.648
i25	00006385-a	1
i2225	00006463-a	0.995
i10495	00006779-a	1
i27	00006871-a	1
i17079	00007027-a	1
i3157	00007165-a	0.25
i9046	00007165-a	0.25
i10801	00007165-a	0.25
i14259	00007165-a	0.25
i29	00007386-a	1
i30	00007640-a	1
i31	00007748-a	1
i35	00007983-a	1
i36	00008034-a	1
i37	00008150-a	1
i38	00008309-a	1
i39	00008489-a	1
i40	00008672-a	1
i41	00008822-a	1
i42	00008959-a	1
i11004	00009102-a	1
i43	00009238-a	1
i44	00009521-a	1
i45	00009800-a	1
i46	00009926-a	1
i13294	00010232-a	1
i47	00010336-a	1
i48	00010722-a	1
i49	00010856-a	1
i50	00011009-a	1
i51	00011263-a	1
i52	00011412-a	1
i53	00011678-a	1
i54	00011881-a	1
i55	00012141-a	1
i56	00012381-a	1
i57	00012590-a	1
i59	00012797-a	1
i16495	00013079-a	1
i60	00013221-a	1
i61	00013438-a	1
i62	00013625-a	1
i64	00013952-a	1
i65	00014288-a	1
i66	00014435-a	1
i67	00014574-a	1
i70	00014765-a	1
i71	00014841-a	1
i74	00014974-a	1
i76	00015032-a	1
i78	00015129-a	1
i79	00015361-a	1
i80	00015473-a	1
i81	00015614-a	1
i4073	00015778-a	1
i82	00015868-a	1
i7511	00016000-a	1
i83	00016127-a	1
i81	00016203-a	1
i83	00016547-a	1
i84	00016685-a	1
i85	00016830-a	1
i13482	00016929-a	1
i86	00017043-a	1
i87	00017254-a	1
i88	00017314-a	1
i89	00017443-a	1
i13485	00017701-a	1
i90	00017806-a	1
i91	00017951-a	1
i92	00018139-a	1
i93	00018346-a	1
i94	00018469-a	1
i95	00018685-a	1
i7153	00018781-a	1
i3359	00018903-a	1
i96	00019035-a	1
i7157	00019186-a	1
i97	00019299-a	1
i98	00019536-a	1
i99	00019647-a	1
i100	00019877-a	1
i101	00020179-a	1
i102	00020270-a	1
i103	00020444-a	1
i104	00020771-a	1
i105	00020947-a	1
i106	00021202-a	1
i109	00021376-a	1
i111	00021529-a	1
i113	00021786-a	1
i114	00021837-a	1
i115	00021922-a	1
i116	00022061-a	1
i2754	00022152-a	1
i117	00022293-a	1
i118	00022539-a	0.673
i2763	00022539-a	0.327
i2757	00022740-a	1
i121	00022955-a	1
i122	00023066-a	1
i123	00023115-a	1
i124	00023210-a	1
i125	00023351-a	1
i126	00023468-a	1
i127	00023518-a	1
i129	00023575-a	1
i130	00023718-a	1
i131	00023880-a	1
i132	00024016-a	1
i133	00024163-a	1
i134	00024346-a	1
i135	00024529-a	1
i137	00024772-a	1
i138	00024871-a	1
i140	00025037-a	1
i142	00025270-a	1
i141	00025339-a	1
i144	00025417-a	1
i145	00025474-a	1
i146	00025838-a	1
i147	00025966-a	1
i148	00026397-a	1
i149	00026554-a	1
i150	00026651-a	1
i151	00026991-a	1
i153	00027201-a	1
i154	00027277-a	1
i155	00027417-a	1
i156	00027557-a	1
i158	00027869-a	1
i159	00028051-a	1
i161	00028469-a	1
i4434	00028561-a	0.987
i164	00028666-a	1
i166	00028930-a	1
i167	00029086-a	1
i168	00029155-a	1
i169	00029270-a	1
i170	00029398-a	1
i171	00029605-a	1
i172	00029920-a	1
i174	00030396-a	1
i175	00030494-a	1
i177	00030754-a	1
i179	00030869-a	1
i180	00031110-a	1
i182	00031206-a	1
i12489	00031418-a	0.945
i10075	00031597-a	1
i186	00031717-a	1
i187	00031819-a	1
i188	00031935-a	1
i189	00032088-a	1
i190	00032169-a	1
i193	00032493-a	1
i194	00032653-a	1
i195	00032746-a	1
i196	00032842-a	1
i197	00033124-a	1
i200	00033225-a	1
i202	00033472-a	1
i215	00033728-a	1
i14480	00033857-a	1
i218	00033994-a	1
i217	00034131-a	1
i3472	00034384-a	1
i9986	00034482-a	1
i14487	00034626-a	1
i3473	00034719-a	1
i6819	00035031-a	1
i203	00035157-a	1
i204	00035298-a	1
i205	00035448-a	1
i222	00035605-a	0.333
i10525	00035605-a	0.333
i10546	00035605-a	0.333
i207	00035655-a	1
i208	00035812-a	1
i213	00035876-a	1
i214	00035951-a	1
i215	00036028-a	1
i216	00036164-a	1
i219	00036303-a	1
i220	00036408-a	1
i223	00036527-a	1
i225	00036893-a	1
i226	00037076-a	1
i227	00037203-a	1
i3599	00037454-a	0.13
i3610	00037454-a	0.121
i3614	00037454-a	0.493
i3620	00037454-a	0.109
i16053	00037454-a	0.147
i229	00037585-a	1
i230	00037817-a	1
i7835	00038015-a	0.972
i231	00038120-a	1
i232	00038209-a	1
i233	00038313-a	1
i234	00038420-a	1
i235	00038488-a	1
i236	00038663-a	1
i237	00038795-a	1
i239	00038852-a	1
i240	00038971-a	1
i241	00039135-a	1
i4946	00039404-a	1
i252	00039513-a	1
i9495	00039771-a	1
i252	00040097-a	1
i255	00040227-a	1
i1131	00040455-a	1
i257	00040631-a	1
i242	00041095-a	1
i243	00041202-a	1
i2755	00041347-a	1
i244	00041479-a	1
i245	00041583-a	1
i246	00041656-a	1
i249	00041717-a	1
i250	00041886-a	1
i251	00042078-a	1
i256	00042176-a	1
i258	00042244-a	1
i260	00042385-a	1
i261	00042561-a	1
i8078	00042687-a	0.5
i9219	00042687-a	0.5
i262	00042789-a	1
i263	00042914-a	1
i264	00043012-a	1
i265	00043254-a	1
i267	00043445-a	1
i268	00043685-a	1
i269	00043901-a	1
i270	00044102-a	1
i271	00044343-a	1
i272	00044594-a	1
i273	00044647-a	1
i274	00044719-a	1
i275	00044837-a	1
i276	00044963-a	1
i277	00045054-a	1
i278	00045175-a	1
i280	00045232-a	1
i281	00045283-a	1
i282	00045362-a	1
i283	00045491-a	1
i285	00045563-a	1
i286	00045655-a	1
i288	00045724-a	1
i289	00045777-a	1
i290	00045926-a	1
i291	00046078-a	1
i292	00046201-a	1
i293	00046297-a	1
i294	00046955-a	1
i295	00047155-a	1
i296	00047249-a	1
i14315	00047455-a	1
i297	00047549-a	1
i298	00047790-a	1
i299	00047872-a	1
i300	00047948-a	1
i301	00048025-a	1
i302	00048133-a	1
i303	00048244-a	1
i304	00048523-a	1
i11051	00048614-a	1
i8121	00048775-a	0.698
i9829	00048775-a	0.302
i319	00049043-a	1
i306	00049176-a	1
i307	00049282-a	1
i308	00049390-a	1
i309	00049497-a	1
i310	00049596-a	1
i311	00049691-a	1
i312	00049742-a	1
i9819	00049867-a	1
i313	00049949-a	1
i315	00050129-a	1
i316	00050247-a	1
i317	00050426-a	1
i318	00050514-a	1
i319	00050612-a	1
i320	00050755-a	1
i321	00050858-a	1
i322	00050980-a	1
i324	00051170-a	1
i325	00051289-a	1
i326	00051445-a	1
i327	00051604-a	1
i329	00051806-a	1
i330	00052000-a	1
i331	00052193-a	1
i332	00052289-a	1
i334	00052426-a	1
i335	00052577-a	1
i337	00052961-a	1
i338	00053065-a	1
i10297	00053176-a	1
i1094	00053302-a	0.999
i8451	00053523-a	1
i339	00053788-a	1
i340	00054078-a	1
i10269	00054258-a	1
i342	00054388-a	1
i343	00054656-a	1
i345	00054780-a	1
i346	00055099-a	1
i347	00055428-a	1
i348	00055566-a	1
i349	00055663-a	1
i1807	00055814-a	1
i350	00055867-a	1
i351	00055935-a	1
i1030	00056068-a	0.579
i9595	00056068-a	0.421
i354	00056328-a	1
i4261	00056434-a	0.333
i10413	00056434-a	0.333
i10415	00056434-a	0.333
i355	00056502-a	1
i356	00056590-a	1
i357	00056756-a	1
i357	00056846-a	1
i358	00057067-a	1
i359	00057212-a	1
i360	00057336-a	1
i361	00057475-a	1
i364	00057614-a	1
i365	00057895-a	1
i1196	00058078-a	0.5
i9893	00058078-a	0.5
i366	00058132-a	1
i367	00058291-a	1
i368	00058405-a	1
i369	00058569-a	1
i370	00058824-a	1
i1212	00058923-a	0.233
i8893	00058923-a	0.233
i8909	00058923-a	0.301
i8913	00058923-a	0.233
i13249	00059047-a	0.5
i13282	00059047-a	0.5
i371	00059101-a	1
i11581	00059304-a	1
i372	00059389-a	1
i373	00059489-a	1
i374	00059655-a	1
i376	00059780-a	1
i377	00059938-a	1
i378	00060033-a	1
i379	00060322-a	1
i381	00060766-a	1
i382	00060883-a	1
i383	00061023-a	1
i384	00061279-a	1
i385	00061386-a	1
i386	00061674-a	1
i387	00061835-a	1
i388	00061972-a	1
i389	00062094-a	1
i390	00062223-a	1
i391	00062436-a	1
i392	00062534-a	1
i393	00062666-a	1
i394	00062780-a	1
i395	00062834-a	1
i396	00063040-a	1
i17510	00063195-a	1
i9987	00063265-a	0.886
i397	00063396-a	1
i402	00063600-a	0.574
i7322	00063600-a	0.426
i398	00063709-a	1
i401	00063828-a	0.5
i403	00063828-a	0.5
i404	00063896-a	1
i405	00064033-a	1
i407	00064192-a	1
i408	00064267-a	1
i12452	00064520-a	1
i13698	00064633-a	1
i5948	00064913-a	1
i409	00065029-a	1
i410	00065659-a	1
i411	00065775-a	1
i412	00065864-a	1
i413	00065993-a	1
i414	00066121-a	1
i415	00066212-a	1
i416	00066320-a	1
i417	00066467-a	1
i418	00066606-a	1
i419	00066735-a	1
i420	00066861-a	1
i421	00067018-a	1
i423	00067128-a	1
i424	00067225-a	1
i425	00067351-a	1
i428	00067649-a	1
i429	00067755-a	1
i430	00067884-a	1
i431	00068067-a	1
i432	00068163-a	1
i433	00068303-a	1
i435	00068526-a	1
i436	00068652-a	1
i437	00068733-a	1
i843	00069169-a	1
i438	00069433-a	0.967
i439	00069576-a	1
i440	00069836-a	1
i441	00069976-a	1
i444	00070138-a	1
i448	00070426-a	1
i449	00070593-a	1
i450	00070727-a	1
i451	00071107-a	1
i11365	00071226-a	1
i452	00071379-a	1
i453	00071507-a	1
i454	00071737-a	1
i455	00071868-a	1
i457	00072149-a	1
i13933	00072368-a	1
i458	00072534-a	1
i459	00072618-a	1
i460	00072834-a	1
i461	00073005-a	1
i466	00073175-a	1
i467	00073284-a	1
i469	00073414-a	1
i470	00073540-a	1
i471	00073801-a	1
i472	00074016-a	1
i474	00074199-a	1
i476	00074419-a	1
i477	00074618-a	1
i478	00074822-a	1
i479	00075012-a	1
i480	00075201-a	1
i481	00075348-a	1
i482	00075457-a	1
i484	00075523-a	1
i10596	00075611-a	1
i885	00075701-a	1
i485	00075765-a	1
i486	00075839-a	1
i487	00075893-a	1
i488	00075965-a	1
i489	00076025-a	1
i490	00076115-a	1
i491	00076220-a	1
i492	00076402-a	1
i493	00076643-a	1
i495	00076795-a	1
i626	00076887-a	1
i496	00077090-a	1
i526	00077292-a	1
i498	00077393-a	1
i628	00077528-a	1
i500	00077703-a	1
i501	00078114-a	1
i503	00078292-a	0.994
i508	00078430-a	1
i509	00078546-a	1
i510	00078691-a	1
i513	00078824-a	1
i514	00078918-a	1
i529	00079020-a	1
i515	00079135-a	1
i517	00079229-a	1
i3719	00079332-a	1
i518	00079449-a	1
i519	00079518-a	1
i520	00079593-a	1
i521	00079779-a	1
i522	00079955-a	1
i523	00080129-a	1
i524	00080322-a	1
i525	00080745-a	1
i526	00080819-a	1
i10825	00080991-a	1
i7779	00081117-a	1
i527	00081292-a	1
i9048	00081493-a	1
i1993	00081598-a	0.962
i528	00081693-a	1
i5140	00081838-a	0.563
i10829	00081838-a	0.219
i13864	00081838-a	0.219
i530	00081969-a	1
i535	00082047-a	1
i536	00082167-a	1
i537	00082323-a	1
i538	00082460-a	1
i538	00082567-a	1
i539	00082666-a	1
i540	00082789-a	1
i541	00083026-a	1
i542	00083235-a	1
i543	00083376-a	1
i544	00083614-a	1
i545	00083720-a	1
i546	00083865-a	1
i548	00083952-a	1
i549	00084191-a	1
i550	00084271-a	1
i551	00084502-a	1
i552	00084771-a	1
i553	00084891-a	1
i554	00084981-a	1
i555	00085095-a	1
i556	00085176-a	1
i557	00085301-a	1
i560	00085390-a	1
i562	00085613-a	1
i561	00085727-a	1
i69	00085837-a	1
i563	00085944-a	1
i564	00086043-a	1
i565	00086317-a	1
i566	00086454-a	1
i568	00086566-a	1
i569	00086698-a	1
i14434	00087505-a	1
i14434	00087633-a	1
i17697	00087782-a	1
i14435	00087987-a	1
i570	00088334-a	1
i571	00088460-a	1
i572	00088628-a	1
i573	00088741-a	1
i574	00088832-a	1
i575	00088991-a	1
i578	00089140-a	1
i579	00089245-a	1
i580	00089361-a	1
i581	00089482-a	1
i582	00089604-a	1
i583	00089733-a	1
i584	00089870-a	1
i585	00090030-a	1
i586	00090293-a	1
i589	00090532-a	1
i590	00090764-a	1
i591	00090996-a	1
i592	00091180-a	1
i593	00091432-a	1
i594	00091607-a	1
i597	00091817-a	0.39
i3892	00091817-a	0.372
i3894	00091817-a	0.237
i595	00091975-a	1
i589	00092153-a	0.107
i595	00092153-a	0.893
i596	00092264-a	1
i597	00092580-a	1
i598	00092792-a	1
i599	00093042-a	1
i600	00093210-a	1
i601	00093328-a	1
i615	00093650-a	1
i602	00093900-a	1
i603	00094082-a	1
i605	00094354-a	1
i607	00094491-a	1
i608	00094756-a	1
i612	00095021-a	1
i611	00095277-a	1
i2969	00095450-a	1
i619	00095561-a	1
i621	00095766-a	1
i623	00095922-a	1
i499	00096132-a	1
i624	00096277-a	1
i621	00096459-a	1
i626	00096586-a	1
i629	00096726-a	1
i630	00096828-a	1
i185	00096928-a	1
i633	00097001-a	1
i635	00097112-a	1
i636	00097239-a	1
i637	00097393-a	1
